team_id,team_name,team_short_name,team_abbreviation,competition
0KPqjA456v,San Jose Earthquakes,San Jose,SJE,mls
19vQ2095K6,New England Revolution,New England,NER,mls
4wM42l4qjB,Chivas USA,Chivas,CHV,mls
9z5k7Yg5A3,Philadelphia Union,Philadelphia,PHI,mls
a2lqR4JMr0,Real Salt Lake,Salt Lake,RSL,mls
a2lqRX2Mr0,New York Red Bulls,New York,NYRB,mls
APk5LGOMOW,CF Montréal,Montréal,MTL,mls
EKXMeX3Q64,D.C. United,D.C. United,DCU,mls
eVq3ya6MWO,Los Angeles FC,Los Angeles FC,LAFC,mls
gpMOLwl5zy,Austin FC,Austin,ATX,mls
jYQJ19EqGR,Seattle Sounders FC,Seattle,SEA,mls
jYQJ8EW5GR,Orlando City SC,Orlando City,ORL,mls
kaDQ0wRqEv,LA Galaxy,LA Galaxy,LAG,mls
KAqBN0Vqbg,Atlanta United FC,Atlanta,ATL,mls
kRQabn8MKZ,Toronto FC,Toronto,TOR,mls
kRQand1MKZ,Minnesota United FC,Minnesota,MIN,mls
lgpMOvnQzy,Vancouver Whitecaps FC,Vancouver,VAN,mls
mKAqBBmqbg,FC Dallas,Dallas,FCD,mls
mvzqoLZQap,Columbus Crew,Columbus,CLB,mls
NPqxKXZ59d,Charlotte FC,Charlotte,CLT,mls
NWMWlBK5lz,FC Cincinnati,Cincinnati,CIN,mls
pzeQZ6xQKw,Colorado Rapids,Colorado,COL,mls
Vj58weDM8n,New York City FC,New York City,NYC,mls
vzqoOgNqap,Nashville SC,Nashville,NSH,mls
WBLMvYAQxe,Portland Timbers FC,Portland,POR,mls
wvq9B9wQWn,St. Louis City SC,St. Louis,STL,mls
X0Oq66zq6D,Chicago Fire FC,Chicago,CHI,mls
YgOMngl5wN,Houston Dynamo FC,Houston,HOU,mls
Z2vQ1xlqrA,Sporting Kansas City,Kansas City,SKC,mls
zeQZkL1MKw,Inter Miami CF,Miami,MIA,mls
